Code,Description,Code Type,Format Group,Format Subgroup,Category Group,Category Subgroup
acart,Framed Art: Adult/YA,ItemType,Media,Art,,
acbk,Book: Adult/YA,ItemType,Print,Book,,
accas,Audio Tape: Adult/YA,ItemType,Media,Audio Tape,,
accd,CD: Adult/YA,ItemType,Media,Audio Disc,,
accdrom,CD-ROM: Adult/YA,ItemType,Media,Data Disc,,
acdisk,Diskette: Adult/YA,ItemType,Media,Data Disc,,
acdvd,DVD: Adult/YA,ItemType,Media,Video Disc,,
aceq,Equipment: Adult/YA,ItemType,Equipment,,,
aceqnh,Equipment: Adult/YA No Hold,ItemType,Equipment,,,
acfold,Folder: Adult/YA,ItemType,Media,Kit,,
ackit,Kit: Adult/YA,ItemType,Media,Kit,,
acmap,Map: Adult/YA,ItemType,Print,,,
acmus,Music Score: Adult/ya,ItemType,Print,Music Score,,
acpam,Pamphlet: Adult/ya,ItemType,Print,,,
acper,Magazine: Adult/ya,ItemType,Print,Periodical,,
acphoto,Photographs: Adult/ya,ItemType,Media,Art,,
acpost,Poster: Adult/YA,ItemType,Media,Art,,
acrec,Record: Adult/YA,ItemType,Media,Audio Disc,,
acslide,Slides: Adult/YA,ItemType,Media,Film,,
acunkn,Other: Adult/YA,ItemType,Print,,,
acvhs,Video (VHS): Adult/YA,ItemType,Media,Video Tape,,
acvid,Video: Adult/YA,ItemType,Media,Video Tape,,
ahbk,Book: Adult/YA: No Hold,ItemType,Print,Book,,
ahmfc,Microfiche: Adult/YA No Hold,ItemType,Media,Film,,
ahmfm,Microfilm: Adult/YA No Hold,ItemType,Media,Film,,
alaptop,Laptop: Hourly Circulating,ItemType,Equipment,,,
alvhs,Video (VHS): Adult/YA,ItemType,Media,Video Tape,,
arbk,Book: Ref Adult/YA,ItemType,Print,Book,Reference,
arcas,Audio Tape: Ref Adult/YA,ItemType,Media,Audio Tape,Reference,
arcd,CD: Ref Adult/YA,ItemType,Media,Audio Disc,Reference,
arcdrom,CD-ROM: Ref Adult/YA,ItemType,Media,Data Disc,Reference,
ardisk,Diskette: Ref Adult/YA,ItemType,Media,Data Disc,Reference,
ardvd,DVD: Ref Adult/YA,ItemType,Media,Video Disc,Reference,
areq,Equipment: Ref Adult/YA,ItemType,Equipment,,Reference,
areqnh,Equipment (disabled) No Holds/No Loan,ItemType,Equipment,,Reference,
arkit,Kit: Ref Adult/YA,ItemType,Media,Kit,Reference,
armap,Map: Ref Adult/YA,ItemType,Print,,Reference,
armfc,Microfiche: Ref Adult/ya,ItemType,Media,Film,Reference,
armfm,Microfilm: Ref Adult/ya,ItemType,Media,Film,Reference,
armus,Music Score: Ref Adult/ya,ItemType,Print,Music Score,Reference,
arnp,Newspaper: Ref Adult/YA,ItemType,Print,Periodical,Reference,
arpam,Pamphlet: Ref Adult/ya,ItemType,Print,,Reference,
arper,Magazine: Ref Adult/ya,ItemType,Print,Periodical,Reference,
arphoto,Photographs: Ref Adult/ya,ItemType,Media,Art,Reference,
arpost,Poster: Ref Adult/YA,ItemType,Media,Art,Reference,
arrec,Record: Ref Adult/YA,ItemType,Media,Audio Disc,Reference,
arslide,Slides: Ref Adult/YA,ItemType,Media,Film,Reference,
arunkn,Other: Ref Adult/YA,ItemType,Print,,Reference,
arvhs,Video (VHS): Ref Adult/YA,ItemType,Media,Video Tape,Reference,
arvid,Video: Ref Adult/YA,ItemType,Media,Video Tape,Reference,
arweb,Web Site: Ref Adult/YA,ItemType,Electronic,,Reference,
atablet,Tablet computer,ItemType,Equipment,,,
bal,Ballard Branch,Location,,,,
bcbk,Book: Adult/Formerly No Fine,ItemType,Print,Book,,
bccas,Audio Tape: Speech Adult Formerly No Fine,ItemType,Media,Audio Tape,,
bccd,Book On CD: Rec Book Adult/Formerly No Fine,ItemType,Media,Audiobook Disc,,
bccdrom,CD-ROM: Adult/Formerly No Fine,ItemType,Media,Data Disc,,
bcdvd,DVD: Adult/Formerly No Fine,ItemType,Media,Video Disc,,
bckit,Kit: Adult Formerly No Fine,ItemType,Media,Kit,,
bcper,Magazine: Adult/Formerly No Fine,ItemType,Print,Periodical,,
bcvhs,Video (VHS): Adult/Formerly No Fine,ItemType,Media,Video Tape,,
bea,Beacon Hill Branch,Location,,,,
blvhs,Video (VHS): Adult/Formerly No Fine Multi Vol,ItemType,Media,Video Tape,,
bro,Broadview Branch,Location,,,,
caaero,Cs9-AERO Reference,ItemCollection,Print,Book,Reference,
caaeroc,Cs9-AERO Valmat,ItemCollection,Print,Book,Nonfiction,
caaeroo,Cs9-AERO Oversize,ItemCollection,Print,Book,Nonfiction,
caaerop,Cs9-AERO Periodicals,ItemCollection,Print,Book,Nonfiction,
caaerov,Cs9-AERO Valmat Oversize,ItemCollection,Print,Book,Nonfiction,
caatlas,CA9-Atlases,ItemCollection,Print,Book,Nonfiction,
cab,CA9-Biography,ItemCollection,Print,Book,Nonfiction,Biography
cabob,CA-Books on Bikes,ItemCollection,Print,Book,,
cabocd,"CA7-Books on CD, Fiction",ItemCollection,Media,Audiobook Disc,Fiction,
cabot,"CA3-Books on Tape, Fiction",ItemCollection,Media,Audiobook Tape,Fiction,
cabr,CA9-Biography - Ref,ItemCollection,Print,Book,Reference,Biography
cacasnf,"CA7-Cassettes, Nonfiction",ItemCollection,Media,Audio Tape,Nonfiction,
cacd,CA8-Music CD,ItemCollection,Media,Audio Disc,Nonfiction,
cacdnf,"CA7-Books on CD, Nonfiction",ItemCollection,Media,Audiobook Disc,Nonfiction,
cacdr,"CA7-CDROM, Nonfiction",ItemCollection,Media,Data Disc,Nonfiction,
cacdrr,"CS 6-CDROM, Reference (CS6)",ItemCollection,Media,Data Disc,Reference,
cacomic,CA3-Graphic Novels,ItemCollection,Print,Book,Fiction,Comic
cacon,CA7-Ref-Consumer,ItemCollection,Print,Book,Reference,
cadesk3,CS 3 - Ref Fiction,ItemCollection,Print,Book,Reference,
cadesk5,"CA5-RefDesk, GRS",ItemCollection,Print,Book,Reference,
cadesk6,"CA6-RefDesk, MNP",ItemCollection,Print,Book,Reference,
cadesk7,"CA7-RefDesk, BST",ItemCollection,Print,Book,Reference,
cadesk8,"CA8-RefDesk, ARL",ItemCollection,Print,Book,Reference,
cadesk9,"CA9-RefDesk, HTM",ItemCollection,Print,Book,Reference,
cadocmf,CA6-Microform - Documents,ItemCollection,Media,Document,,
cadocpt,CA6-Poster - DOC,ItemCollection,Media,Document,,
cadvd,"CA3-DVD, Fiction",ItemCollection,Media,Video Disc,Fiction,
cadvdnf,"CA7-DVD, Nonfiction",ItemCollection,Media,Video Disc,Nonfiction,
cadvdr,"CA6-DVD, Reference (CS6)",ItemCollection,Media,Video Disc,Reference,
caesl,CA1-ESL,ItemCollection,Print,Book,,
caesla,CA1-ESL Advanced,ItemCollection,Print,Book,,
caeslb,CA1-ESL Beginning,ItemCollection,Print,Book,,
caeslc,CA1-ESL Citizenship,ItemCollection,Print,Book,,
caesli,CA1-ESL Intermediate,ItemCollection,Print,Book,,
caeslr,CA1-ESL Reference,ItemCollection,Print,Book,Reference,
caeslt,CA1-ESL Teachers,ItemCollection,Print,Book,,
cafic,CA3-Fiction,ItemCollection,Print,Book,Fiction,
cafold,CA-Folder,ItemCollection,Print,Folder,,
cafund,CA7-Fundraising Reference,ItemCollection,Print,Book,,
cag,CA 9 Genealogy,ItemCollection,Print,Book,,
cagbi,CA9-Geneal. Bibliographies,ItemCollection,Print,Book,,
cagcdr,CA9-Genealogy CDROMs,ItemCollection,Media,Data Disc,,
cagd,CA 9 Genealogy Desk,ItemCollection,Print,Book,Reference,
cagmf,CA9-Microform,ItemCollection,Media,Film,,
cagr,CA 9 Ref Genealogy,ItemCollection,Print,Book,Reference,
cagrf,CA 9 Ref Genealogy Folio,ItemCollection,Print,Book,Reference,
cagro,CA 9 Ref Genealogy Oversize,ItemCollection,Print,Book,Reference,
cagrs,CA5-General Reference,ItemCollection,Print,Book,,
cagrsat,"CA5-Ref-Atlas, GRS",ItemCollection,Print,Book,,
caindex,CA6-Magazine Indexes,ItemCollection,Print,Book,,
cainter,CA6-International Reference,ItemCollection,Print,Book,,
cainv,CA7-Investment Reference,ItemCollection,Print,Book,,
cakitnf,"CA7-Kit, Nonfiction",ItemCollection,Media,Kit,Nonfiction,
calibr,CA8-Libretto File,ItemCollection,Print,Book,Nonfiction,
caln,CA1-Language,ItemCollection,Print,Book,Language,
calncas,"CA1-Cassette, Language",ItemCollection,Media,Audio Tape,Language,
calncd,"CA1-Compact Disc, Language",ItemCollection,Media,Audio Disc,Language,
calncdr,"CA1-CD-ROM, Language",ItemCollection,Media,Data Disc,Language,
calndvd,"CA1-DVD, Language",ItemCollection,Media,Video Disc,Language,
calnr,CA1-World Languages Reference,ItemCollection,Print,Book,Language,
calnvid,"CA1-Video, Language",ItemCollection,Media,Video Tape,Language,
calpfic,CA3-Large Print Fiction,ItemCollection,Print,Book,Fiction,Large Print
calpnew,CA3-Large Print New,ItemCollection,Print,Book,Fiction,Large Print
calpnf,CA3-Large Print Nonfiction,ItemCollection,Print,Book,Nonfiction,Large Print
camap,CA9-Map,ItemCollection,Print,Book,,
camapr,CA9-Map Room Atlases,ItemCollection,Print,Book,Reference,
camf,CA6-Microform,ItemCollection,Media,Film,,
camfr,CA8-Microform - Stacks,ItemCollection,Media,Film,,
camus,CA8-Music Score,ItemCollection,Print,Music Score,Nonfiction,
camys,CA3-Mystery,ItemCollection,Print,Book,Fiction,
canew,CA3-New Adult Books,ItemCollection,Print,Book,Fiction,
canf,CA-Nonfiction,ItemCollection,Print,Book,Nonfiction,
canp,CA6-Newspapers,ItemCollection,Print,Periodical,,
canplr,CA3-Living Room Newspapers,ItemCollection,Print,Periodical,,
canwart,CS 8 - NW Arts,ItemCollection,Print,Book,,
caover,CA-Oversize,ItemCollection,Print,Book,Nonfiction,
cap,Capitol Hill Branch,Location,,,,
caper,CA7-Periodicals,ItemCollection,Print,Periodical,,
caperal,CA6-Ref. Alcove Periodicals,ItemCollection,Print,Periodical,,
caperds,CA6-Current Magazine Display Shelves,ItemCollection,Print,Periodical,,
caperf,CA7-Folio Oversize Periodicals,ItemCollection,Print,Periodical,,
caperlr,CA3-Living Room Periodicals,ItemCollection,Print,Periodical,,
caperm,CA6-Microfilm-Periodicals,ItemCollection,Print,Periodical,,
capermf,CA6-Microform - Periodical,ItemCollection,Print,Periodical,,
capero,CA7-Oversize Periodicals,ItemCollection,Print,Periodical,,
capf,CA9-Play File,ItemCollection,Print,,Nonfiction,
capfskt,CA9-Play File: Skits,ItemCollection,Print,,Nonfiction,
capfxms,CA9-Play File: Christmas Plays,ItemCollection,Print,,Nonfiction,
capop,CA-Pop-Up Branches,ItemCollection,Print,Book,,
caread,CA1-READ,ItemCollection,Print,Book,,
careadr,CA5-Literacy Reference,ItemCollection,Print,Book,Reference,
carec,CA8-Phono Records,ItemCollection,Media,Audio Disc,Nonfiction,
caref,CA-Reference,ItemCollection,Print,Book,Reference,
caref7,CA7-SCT Room Reference,ItemCollection,Print,Book,Reference,
caref8,CA8-ARL Room Reference,ItemCollection,Print,Book,Reference,
caref9,CA9-HTM Room Reference,ItemCollection,Print,Book,Reference,
caref9f,CA9-HTM Folio Reference,ItemCollection,Print,Book,Reference,
carefo,"CA-Ref, Oversize",ItemCollection,Print,Book,Reference,
casbr,CA7-Small Business Reference,ItemCollection,Print,Book,Reference,
cascook,CA-Seattle Cooks,ItemCollection,Print,Book,,
casea,CA0-Seattle Coll.,ItemCollection,Print,Book,,
caseaat,CA0-Seattle Atlases,ItemCollection,Print,Book,,
caseaf,CA0-Seattle Room Folio,ItemCollection,Print,Book,,
caseam,CA8-Seattle Music,ItemCollection,Print,Book,,
caseamp,CA0-Seattle Room Map,ItemCollection,Print,Book,,
caseao,CA0-Seattle Room Oversize,ItemCollection,Print,Book,,
caseapm,CA0-Seattle Room Pamphlet File,ItemCollection,Print,Book,,
casear,CA0-Seattle Room Ref,ItemCollection,Print,Book,Reference,
casf,CA3-Science Fiction,ItemCollection,Print,Book,Fiction,
cash,CA9-Nonfiction Shakespeare S Call Nos.,ItemCollection,Print,Book,Nonfiction,
caslide,CS 8 - Slide,ItemCollection,Media,Film,,
casoft,CS 6 - Software,ItemCollection,Media,Data Disc,,
caspec,CA7-Specifications,ItemCollection,Print,Book,,
cass,CA3-Short Stories,ItemCollection,Print,Book,Fiction,
catele,CA5-Telephone,ItemCollection,Print,Book,,
caval,CA0-Valuable Material,ItemCollection,Print,Book,,
cavalo,CA0-Valuable Mater. Oversize,ItemCollection,Print,Book,,
cavid,"CA3-Video, Fiction",ItemCollection,Media,Video Tape,Fiction,
cavidad,"CA3-Video, Audio-Described",ItemCollection,Media,Video Tape,,
cavidnf,"CA7-Video, Nonfiction",ItemCollection,Media,Video Tape,Nonfiction,
cawa,CA0-WaAuthors,ItemCollection,Print,Book,Fiction,
cawest,CA3-Western,ItemCollection,Print,Book,Fiction,
ccaward,CC-Children's Newbery/Caldecott,ItemCollection,Print,Book,Fiction,
ccb,CC-Children's Biographies,ItemCollection,Print,Book,Nonfiction,Biography
ccbocd,CC-Children's Compact Discs,ItemCollection,Media,Audiobook Disc,Fiction,
ccbot,CC-Children's Books on Tape,ItemCollection,Media,Audiobook Tape,Fiction,
cccas,CC-Children's Cassettes,ItemCollection,Media,Audio Tape,,
cccd,CC-Children's Compact Discs,ItemCollection,Media,Audio Disc,Nonfiction,
cccomic,CC-Children's Comics,ItemCollection,Print,Book,Fiction,Comic
ccdesk,"CC-RefDesk, CHI",ItemCollection,Print,Book,Reference,
ccdvd,"CC-Children's DVD, Fiction",ItemCollection,Media,Video Disc,Fiction,
ccdvdnf,"CC-Children's DVD, Nonfiction",ItemCollection,Media,Video Disc,Nonfiction,
cceck,"CC-Kit, Begin With Books",ItemCollection,Print,Book,,
ccef,CC-Children's Easy Fiction,ItemCollection,Print,Book,Fiction,
ccfft,CC-Folk And Fairy Tales,ItemCollection,Print,Book,Nonfiction,
ccfic,CC-Children's Fiction,ItemCollection,Print,Book,Fiction,
cchol,CC-Children's Holiday,ItemCollection,Print,Book,Fiction,Holiday
xrpam,Pamphlet: Analytic Record,ItemType,Print,,,
cckit,CC-Children's Kit,ItemCollection,Media,Audio Disc,Nonfiction,
ccln,CC-Children's Languages,ItemCollection,Print,Book,Language,
cclpfic,CC-Children's Large Print,ItemCollection,Print,Book,Fiction,Large Print
ccnew,CC-Children's New Materials,ItemCollection,Print,Book,Nonfiction,
ccnf,CC-Children's Nonfiction,ItemCollection,Print,Book,Nonfiction,
ccper,CC-Children's Periodicals,ItemCollection,Print,Periodical,,
ccpic,CC-Children's Picture Books,ItemCollection,Print,Book,Fiction,Picture
ccrdr,CC-Children's Readers,ItemCollection,Print,Book,Fiction,Picture
ccref,CC-Children's Reference,ItemCollection,Print,Book,Reference,
ccser,CC-Children's Series,ItemCollection,Print,Book,Fiction,
ccsoft,CC-Children's Software,ItemCollection,Media,Data Disc,,
ccvid,"CC-Children's Video, Fiction",ItemCollection,Media,Video Tape,Fiction,
ccvidnf,"CC-Children's Video, Nonfiction",ItemCollection,Media,Video Tape,Nonfiction,
cen,Central Library,Location,,,,
ch1mapa,CH1 - MOB Parenting,ItemCollection,Print,Book,,
ch1mcpr,CH1 - MOB Pro/Storytelling,ItemCollection,Print,Book,,
ch1mcrf,CH1 - MOB Children's Reference,ItemCollection,Print,Book,,
ch1mcse,CH1 - Children's Seasonal,ItemCollection,Print,Book,,
col,Columbia Branch,Location,,,,
cs1fic,CS 3 - Fiction,ItemCollection,Print,Book,Fiction,
cs1l,CS 1 - Limit,ItemCollection,Print,Book,,
cs1lew,CS 1 - Language,ItemCollection,Print,Book,Language,
cs1lewr,CS 1 - Lang Ref,ItemCollection,Print,Book,Reference,
cs1mabi,CS 1 - Bifolkal Kits,ItemCollection,Media,Kit,,
cs1malf,CS 1 - MOB Large Print Fiction,ItemCollection,Print,Book,Fiction,
cs1malp,CS 1 - MOB Large Print Nonfiction,ItemCollection,Print,Book,Nonfiction,Large Print
cs1mapc,CS 1 - MOB Pictorials,ItemCollection,Print,Book,,
cs3fic,CS 3 - Fiction,ItemCollection,Print,Book,Fiction,
cs3mamy,CS 3 - MOB Mysteries,ItemCollection,Print,Book,Fiction,
cs6,CS 6,ItemCollection,Print,Book,,
cs6l,CS 6 - Limit,ItemCollection,Print,Book,,
cs6o,CS 6 - Oversize,ItemCollection,Print,Book,,
cs6per,CS 6 - Magazines,ItemCollection,Print,Periodical,,
cs6pero,"CS 6 - Magazines, Oversize",ItemCollection,Print,Periodical,,
cs6r,CS 6 - Ref,ItemCollection,Print,Book,Reference,
cs6rf,CS 6 - Ref Folio,ItemCollection,Print,Book,Reference,
cs6ro,CS 6 - Ref Oversize,ItemCollection,Print,Book,Reference,
cs6sof,CS 6 - Federal Depository Media,ItemCollection,Print,Book,,
cs6sofr,CS 6 - Ref Federal Depository Media,ItemCollection,Print,Book,Reference,
cs7,CS 7,ItemCollection,Print,Book,,
cs7a,CS 7 - Aero,ItemCollection,Print,Book,,
cs7ac,CS 7 - Aero Cross,ItemCollection,Print,Book,,
cs7ao,CS 7 - Aero Oversize,ItemCollection,Print,Book,,
cs7f,CS 7 - Folio,ItemCollection,Print,Book,,
cs7l,CS 7 - Limit,ItemCollection,Print,Book,,
cs7o,CS 7 - Oversize,ItemCollection,Print,Book,,
cs7r,CS 7 - Ref,ItemCollection,Print,Book,Reference,
cs7rf,CS 7 - Ref Folio,ItemCollection,Print,Book,Reference,
cs7ro,CS 7 - Ref Oversize,ItemCollection,Print,Book,Reference,
cs8,CS 8,ItemCollection,Print,Book,,
cs8f,CS 8 - Folio,ItemCollection,Print,Book,,
cs8l,CS 8 - Limit,ItemCollection,Print,Book,,
cs8o,CS 8 - Oversize,ItemCollection,Print,Book,,
cs8r,CS 8 - Reference,ItemCollection,Print,Book,Reference,
cs8rf,CS 8 - Ref Folio,ItemCollection,Print,Book,Reference,
cs8ro,CS 8 - Ref Oversize,ItemCollection,Print,Book,Reference,
cs8rx,CS 8 - Ref Extra-large,ItemCollection,Print,Book,Reference,
cs8x,CS 8 - Extra-large,ItemCollection,Print,Book,,
cs9,CS 9,ItemCollection,Print,Book,,
cs9g,REF-Ask at Level 9 Genealogy Desk (CS9G),ItemCollection,Print,Book,Reference,
cs9gf,REF-Ask at Level 9 Genealogy Desk (CS9Gf),ItemCollection,Print,Book,Reference,
cs9go,REF-Ask at Level 9 Genealogy Desk (CS9Go),ItemCollection,Print,Book,Reference,
cs9l,CS 9 - Limit,ItemCollection,Print,Book,,
cs9o,CS 9 - Oversize,ItemCollection,Print,Book,,
cs9r,CS 9 - Ref,ItemCollection,Print,Book,Reference,
cs9rf,CS 9 - Ref Folio,ItemCollection,Print,Book,Reference,
cs9ro,CS 9 - Ref Oversize,ItemCollection,Print,Book,Reference,
cs9s,CS 9 - Seattle,ItemCollection,Print,Book,,
cs9sf,CS 9 - Seattle Folio,ItemCollection,Print,Book,,
cs9so,CS 9 - Seattle Oversize,ItemCollection,Print,Book,,
cs9ssl,CS 9 - Seattle Short and Long,ItemCollection,Print,Book,,
cs9sxo,CS 9 - Seattle Extra Oversize,ItemCollection,Print,Book,,
cs9vf,CS 9 - Valmat Folio,ItemCollection,Print,Book,,
cspero,"CS 6 - Magazines, Oversize",ItemCollection,Print,Book,,
cyb,CY9-Teen Biography,ItemCollection,Print,Book,Nonfiction,Biography
cybocd,CY3-Teen Compact Disc,ItemCollection,Media,Audiobook Disc,Fiction,
cybot,CY3-Teen Books on Tape,ItemCollection,Media,Audiobook Tape,Fiction,
cycomic,CY3-Teen Comics & Graphic Novels,ItemCollection,Print,Book,Fiction,Comic
